rank,gene_id,gene_name,ipf_cpm,control_cpm,log2_fc_ipf_vs_control,ipf_detected_samples,control_detected_samples
1,ENSG00000211892,IGHG4,5157.766668094414,20.027407048442686,7.938611426336873,5,8
2,ENSG00000253755,IGHGP,561.4114827934619,2.7670657573838526,7.222041023096439,4,8
3,ENSG00000211897,IGHG3,5137.211826609175,55.903951851678436,6.496593709474862,5,8
4,ENSG00000100985,MMP9,119.69478302311688,0.5011463538372978,6.3291548684222345,4,8
5,ENSG00000118785,SPP1,1167.236526637694,19.209585391260347,5.853148863876588,5,8
6,ENSG00000211685,IGLC7,54.33699485621582,0.28593012826299813,5.42736013847951,5,8
7,ENSG00000145824,CXCL14,61.227940566537214,0.4857737662962764,5.388276137569471,5,8
8,ENSG00000211893,IGHG2,176.0967016795146,3.8400723677471467,5.193364914244875,4,8
9,ENSG00000179914,ITLN1,49.48737381693141,0.40891082859116934,5.163270425202471,5,8
10,ENSG00000243290,IGKV1-12,60.16597975501508,0.7870764821002959,5.0970561711351685,4,7
11,ENSG00000262406,MMP12,36.460654528926575,0.11375714780355839,5.071869511468496,5,7
12,ENSG00000196611,MMP1,55.693944782049655,0.7163625794115974,5.045768398175144,5,8
13,ENSG00000211896,IGHG1,2632.695248279948,87.53151345857587,4.894753522260307,5,8
14,ENSG00000168542,COL3A1,79.4582678310005,1.8231888823651385,4.832843119758618,5,8
15,ENSG00000143387,CTSK,106.58546678310476,2.837779660072551,4.80906751001139,5,8
16,ENSG00000186081,KRT5,41.87665466768945,0.6210525366572647,4.725189594900287,5,8
17,ENSG00000138755,CXCL9,25.487059476531197,0.08608649022971986,4.608076786906449,5,7
18,ENSG00000211679,IGLC3,3044.0752675344775,128.6255144732343,4.554056268704034,5,8
19,ENSG00000211592,IGKC,21621.345129122044,960.202562987279,4.4915386986768855,5,8
20,ENSG00000159147,DONSON,4.247843246088533,116.83166531176268,-4.488858854414923,5,8
21,ENSG00000237541,HLA-DQA2,83.03353589645835,3.163678515942205,4.335034604653411,5,8
22,ENSG00000164692,COL1A2,87.74156216087314,3.4957264068282674,4.302983803550282,5,8
23,ENSG00000105369,CD79A,65.25159208574885,2.410421726432156,4.279933067858751,5,8
24,ENSG00000156738,MS4A1,31.174449600460843,0.6671702992803289,4.2704420824776905,5,8
25,ENSG00000170476,MZB1,163.38857063496644,7.557164035166122,4.263833440360344,5,8
26,ENSG00000211662,IGLV3-21,26.05343857600967,0.41198534609937365,4.26001495553733,4,6
27,ENSG00000211677,IGLC2,8055.385740155417,420.75079551526403,4.255670066439812,5,8
28,ENSG00000211640,IGLV6-57,29.7467022871922,0.8116726221659302,4.085037501440203,5,8
29,ENSG00000099937,SERPIND1,24.25990476099451,0.5318915289193406,4.043463148862945,5,8
30,ENSG00000108821,COL1A1,90.53805896454809,4.61792529732283,4.026262354473262,5,8
31,ENSG00000254709,IGLL5,81.87717856835647,4.264355783879338,3.9766459894892474,5,8
32,ENSG00000146070,PLA2G7,88.06015040432978,4.731682445126388,3.9577494615274538,5,8
33,ENSG00000211663,IGLV3-19,15.197839169338973,0.04304324511485993,3.956930487865145,4,5
