accession,source_type,disease_identity,celltype_category,manuscript_identity,subclass_cell_identity,cell_count,mean_numi,mean_ngene,subject_count,library_count
GSE136831,scRNA-seq,COPD,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar,21126,7108.661554482628,2294.329073179968,18,24
GSE136831,scRNA-seq,COPD,Lymphoid,T,T,6604,2634.816929133858,1210.5654149000607,17,23
GSE136831,scRNA-seq,COPD,Myeloid,Macrophage,Macrophage,5829,5953.4304340367125,2089.852290272774,18,24
GSE136831,scRNA-seq,COPD,Lymphoid,NK,NK,4587,2336.89252234576,1250.2374100719423,17,23
GSE136831,scRNA-seq,COPD,Myeloid,cMonocyte,Monocyte,3197,3591.9918673756647,1475.278073193619,17,23
GSE136831,scRNA-seq,COPD,Lymphoid,T_Cytotoxic,T_Cytotoxic_A,3058,2463.37508175278,1200.2982341399609,17,21
GSE136831,scRNA-seq,COPD,Myeloid,ncMonocyte,Monocyte_Non-Classical,2719,4294.268481059213,1746.4799558661273,18,24
GSE136831,scRNA-seq,COPD,Lymphoid,B,B,2269,3597.3873953283387,1505.9382988100485,17,22
GSE136831,scRNA-seq,COPD,Lymphoid,T_Cytotoxic,T_Cytotoxic_C,2196,3135.056921675774,1408.4521857923498,16,22
GSE136831,scRNA-seq,COPD,Myeloid,cDC2,Dendritic_A,1588,7288.171284634761,2327.36523929471,16,21
GSE136831,scRNA-seq,COPD,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_Outlier_A,1182,4791.03807106599,2079.0118443316414,14,17
GSE136831,scRNA-seq,COPD,Myeloid,Macrophage,Macrophage_MT-tRNAs,1162,10379.65404475043,3183.620481927711,8,10
GSE136831,scRNA-seq,COPD,Myeloid,cMonocyte,Monocyte_Outlier_B,943,3942.3467656415696,1507.1208907741252,12,14
GSE136831,scRNA-seq,COPD,Epithelial,Ciliated,Ciliated,799,8230.128911138923,3263.2853566958697,16,21
GSE136831,scRNA-seq,COPD,Lymphoid,T_Cytotoxic,T_Cytotoxic_B,785,2768.5057324840764,1306.7222929936306,17,22
GSE136831,scRNA-seq,COPD,Myeloid,Mast,Mast,687,2418.515283842795,1128.3668122270742,17,22
GSE136831,scRNA-seq,COPD,Lymphoid,B_Plasma,B_Plasma,637,7517.844583987441,1639.6828885400314,17,21
GSE136831,scRNA-seq,COPD,Myeloid,cDC1,Dendritic_B,561,7098.181818181818,2169.1532976827093,16,21
GSE136831,scRNA-seq,COPD,Multiplet,Multiplet,Multiplet_Macrophage_Low-Info,534,4744.595505617977,1994.880149812734,17,22
GSE136831,scRNA-seq,COPD,Epithelial,ATII,ATII_Low-Surfactants,490,4193.5142857142855,1627.0551020408163,17,22
GSE136831,scRNA-seq,COPD,Epithelial,Club,Club,469,6228.665245202558,2171.2132196162047,15,21
GSE136831,scRNA-seq,COPD,Stromal,Myofibroblast,Myofibroblast,427,4199.503512880562,1762.608899297424,17,19
GSE136831,scRNA-seq,COPD,Endothelial,Lymphatic,Lymphatic-Endothelial,396,3947.3636363636365,1826.4823232323233,17,23
GSE136831,scRNA-seq,COPD,Epithelial,ATI,ATI,375,4511.770666666666,2030.5706666666667,18,22
GSE136831,scRNA-seq,COPD,Stromal,Fibroblast,Fibroblast,359,4746.356545961003,1927.908077994429,17,22
GSE136831,scRNA-seq,COPD,Myeloid,Macrophage_Alveolar,Macrophage_Alveolar_CellCycle_A,355,11260.112676056338,3514.614084507042,16,21
GSE136831,scRNA-seq,COPD,Epithelial,ATII,ATII_High-Surfactants,319,7637.047021943574,2548.921630094044,15,17
