accession,source_type,group_id,disease_identity,celltype_category,manuscript_identity,subclass_cell_identity,cell_count,mean_numi,mean_ngene,subject_count,library_count,total_umis,mean_umis_from_matrix,detected_gene_count
GSE136831,scRNA-seq,0,COPD,Epithelial,ATI,ATI,375,4511.770666666666,2030.5706666666667,18,22,1691914.0,4511.770666666666,24032
GSE136831,scRNA-seq,1,COPD,Epithelial,ATII,ATII_Low-Surfactants,490,4193.5142857142855,1627.0551020408163,17,22,2054822.0,4193.5142857142855,24798
GSE136831,scRNA-seq,2,COPD,Epithelial,ATII,ATII_High-Surfactants,319,7637.047021943574,2548.921630094044,15,17,2436218.0,7637.047021943574,24947
GSE136831,scRNA-seq,3,COPD,Epithelial,ATII,ATII_High-Surfactants_SubjSpec,1,7524.0,2853.0,1,1,7524.0,7524.0,2853
GSE136831,scRNA-seq,4,COPD,Epithelial,Aberrant_Basaloid,Mystery_Disease_Epithelial,33,14094.272727272728,4202.30303030303,9,11,465111.0,14094.272727272728,18727
GSE136831,scRNA-seq,5,COPD,Lymphoid,B,B,2269,3597.3873953283387,1505.9382988100485,17,22,8162472.0,3597.3873953283387,28732
GSE136831,scRNA-seq,6,COPD,Lymphoid,B_Plasma,B_Plasma,637,7517.844583987441,1639.6828885400314,17,21,4788867.0,7517.844583987441,25381
GSE136831,scRNA-seq,7,COPD,Lymphoid,B_Plasma,B_Plasma_LowInfo,75,1964.7333333333333,711.04,9,10,147355.0,1964.7333333333333,10509
GSE136831,scRNA-seq,8,COPD,Epithelial,Basal,Basal,101,5290.940594059406,2168.732673267327,16,20,534385.0,5290.940594059406,19938
GSE136831,scRNA-seq,9,COPD,Epithelial,Ciliated,Ciliated,799,8230.128911138923,3263.2853566958697,16,21,6575873.0,8230.128911138923,30236
GSE136831,scRNA-seq,10,COPD,Epithelial,Ciliated,Ciliated_MT-tRNAs,75,10855.84,4083.48,4,4,814188.0,10855.84,21958
GSE136831,scRNA-seq,11,COPD,Epithelial,Ciliated,Ciliated_CellCycle,33,8586.939393939394,3457.0,12,14,283369.0,8586.939393939394,18458
GSE136831,scRNA-seq,12,COPD,Epithelial,Ciliated,Assorted_Epithelial_MT-tRNAs,2,5517.0,2690.0,2,2,11034.0,5517.0,4683
GSE136831,scRNA-seq,13,COPD,Epithelial,Ciliated,Ciliated_CellCycle_MT-tRNAs,2,14727.5,5029.0,2,2,29455.0,14727.5,8041
GSE136831,scRNA-seq,14,COPD,Epithelial,Ciliated,Ciliated_FOXN4+,1,4261.0,2202.0,1,1,4261.0,4261.0,2202
GSE136831,scRNA-seq,15,COPD,Epithelial,Club,Club,469,6228.665245202558,2171.2132196162047,15,21,2921244.0,6228.665245202558,26552
GSE136831,scRNA-seq,16,COPD,Epithelial,Club,Club_CellCycle,1,3998.0,1918.0,1,1,3998.0,3998.0,1918
GSE136831,scRNA-seq,17,COPD,Myeloid,DC_Langerhans,Dendritic_Langerhans,20,9894.0,3001.1,9,10,197880.0,9894.0,13056
GSE136831,scRNA-seq,18,COPD,Myeloid,DC_Mature,Dendritic_C,269,6968.583643122676,2116.475836431227,15,21,1874549.0,6968.583643122676,22162
GSE136831,scRNA-seq,19,COPD,Stromal,Fibroblast,Fibroblast,359,4746.356545961003,1927.908077994429,17,22,1703942.0,4746.356545961003,23374
GSE136831,scRNA-seq,20,COPD,Epithelial,Goblet,Goblet_B,87,11032.666666666666,2654.206896551724,14,19,959842.0,11032.666666666666,20633
GSE136831,scRNA-seq,21,COPD,Epithelial,Goblet,Goblet_A,41,6946.121951219512,2351.560975609756,11,12,284791.0,6946.121951219512,15601
GSE136831,scRNA-seq,22,COPD,Epithelial,Goblet,Goblet_MT-tRNAs,4,12030.25,3934.5,1,1,48121.0,12030.25,8928
GSE136831,scRNA-seq,23,COPD,Lymphoid,ILC_A,Innate_lymphoid_A,235,2790.944680851064,1327.4893617021276,17,21,655872.0,2790.944680851064,18875
GSE136831,scRNA-seq,24,COPD,Lymphoid,ILC_B,Innate_lymphoid_B,165,2487.418181818182,1215.7333333333333,16,22,410424.0,2487.418181818182,17216
GSE136831,scRNA-seq,25,COPD,Endothelial,Lymphatic,Lymphatic-Endothelial,396,3947.3636363636365,1826.4823232323233,17,23,1563156.0,3947.3636363636365,23484
GSE136831,scRNA-seq,26,COPD,Myeloid,Macrophage,Macrophage,5829,5953.4304340367125,2089.852290272774,18,24,34702546.0,5953.4304340367125,33436
GSE136831,scRNA-seq,27,COPD,Myeloid,Macrophage,Macrophage_MT-tRNAs,1162,10379.65404475043,3183.620481927711,8,10,12061158.0,10379.65404475043,29150
GSE136831,scRNA-seq,28,COPD,Myeloid,Macrophage,Macrophage_CellCycle_B,301,5560.554817275747,2179.6744186046512,15,17,1673727.0,5560.554817275747,24574
GSE136831,scRNA-seq,29,COPD,Myeloid,Macrophage,Macrophage_Outlier_D,203,4593.990147783251,1652.7832512315272,12,15,932580.0,4593.990147783251,19853
GSE136831,scRNA-seq,30,COPD,Myeloid,Macrophage,Macrophage_Outlier_B,78,3423.602564102564,1432.2564102564102,9,11,267041.0,3423.602564102564,14403
GSE136831,scRNA-seq,31,COPD,Myeloid,Macrophage,Macrophage_Outlier_E,75,2104.826666666667,1103.0933333333332,11,13,157862.0,2104.826666666667,12290
