manuscript_identity,rank_within_manuscript,gene_id,gene_name,ipf_cpm,control_cpm,log2_fc_ipf_vs_control,ipf_group_count,control_group_count
ATI,1,ENSG00000267922,ENSG00000267922,108.72028695465276,0.5263240998542082,6.167625153450167,1,1
ATI,2,ENSG00000259755,ENSG00000259755,51.01490387872168,0.0,5.700853154125112,1,1
ATI,3,ENSG00000145936,KCNMB1,0.0,34.73739059037774,-5.159362392955738,1,1
ATI,4,ENSG00000182132,KCNIP1,4.181549498255876,152.10766485786618,-4.885019110350342,1,1
ATI,5,ENSG00000109321,AREG,569.5270416624503,23.68458449343937,4.530613002503956,1,1
ATI,6,ENSG00000169035,KLK7,21.744057390930553,0.0,4.507417739426381,1,1
ATI,7,ENSG00000140465,CYP1A1,0.8363098996511752,40.00063158891982,-4.480764676947882,1,1
ATI,8,ENSG00000114455,HHLA2,43.48811478186111,1.0526481997084165,4.437861672085459,1,1
ATI,9,ENSG00000159713,TPPP3,214.09533431070085,8.94750969752154,4.4344970206398955,1,1
ATI,10,ENSG00000145824,CXCL14,30.107156387442306,0.5263240998542082,4.349113277302264,1,1
ATI,11,ENSG00000115457,IGFBP2,56.032763276628735,2.105296399416833,4.198988049118592,1,1
ATI,12,ENSG00000109654,TRIM2,87.81253946337338,4.210592798833666,4.091243965895223,1,1
ATI,13,ENSG00000275896,PRSS2,15.053578193721153,0.0,4.004822991424107,1,1
ATI,14,ENSG00000179862,CITED4,0.0,14.210750696063622,-3.9270194510242287,1,1
ATI,15,ENSG00000131435,PDLIM4,76.10420086825694,4.736916898687874,3.7484619393416225,1,1
ATII,1,ENSG00000259755,ENSG00000259755,89.23069714969779,2.004072904871453,4.908626601811192,2,3
ATII,2,ENSG00000168542,COL3A1,22.373478636354903,0.15718218861736888,4.336184536369732,2,3
ATII,3,ENSG00000244694,PTCHD4,45.7998268555971,1.3360486032476355,4.324360996310065,2,3
ATII,4,ENSG00000117983,MUC5B,24.742435197851304,0.35365992438908,4.249211290988523,2,3
ATII,5,ENSG00000142173,COL6A2,23.952783010685838,0.5894332073151333,3.9726164333141143,2,3
ATII,6,ENSG00000102109,PCSK1N,47.905566021371676,2.2398461877975064,3.916001442295593,2,3
ATII,7,ENSG00000175147,TMEM51-AS1,24.742435197851304,0.70731984877816,3.9143432740729476,2,3
ATII,8,ENSG00000185666,SYN3,367.71470182338584,24.520421424309546,3.8527808844495057,2,3
ATII,9,ENSG00000200488,RN7SKP203,36.060783213889664,1.7290040747910578,3.7634469166119056,2,3
ATII,10,ENSG00000100234,TIMP3,78.17556652938124,4.872647847138436,3.752972250839124,2,3
ATII,11,ENSG00000182667,NTM,350.0791363100238,25.345627914550732,3.7361607932391383,2,3
ATII,12,ENSG00000164692,COL1A2,18.162000304805744,0.5501376601607911,3.6277799256279577,2,3
ATII,13,ENSG00000064655,EYA2,46.32626164704074,2.9078704894213243,3.5981864056112887,2,3
ATII,14,ENSG00000183049,CAMK1D,1156.8404541974094,96.78493264114489,3.565680477001659,2,3
ATII,15,ENSG00000125144,MT1G,18.95165249197121,233.02259462524938,-3.5520676796976662,2,3
B,1,ENSG00000263574,ENSG00000263574,0.062444248993945094,11.511530755011373,-3.557799266538488,1,1
B,2,ENSG00000161055,SCGB3A1,70.31222436718218,6.676687837906596,3.215593516003956,1,1
B,3,ENSG00000181617,FDCSP,7.992863871224972,0.0,3.168780630183977,1,1
B,4,ENSG00000118785,SPP1,73.62176956386126,7.827840913407733,3.079464036160625,1,1
B,5,ENSG00000205358,MT1H,0.37466549396367055,10.360377679510234,-3.0468582921530674,1,1
B,6,ENSG00000262902,MTCO1P40,221.23997418554745,28.318365657327977,2.9222417485903716,1,1
B,7,ENSG00000244734,HBB,5.120428417503498,0.0,2.6136326421622407,1,1
B,8,ENSG00000229021,ENSG00000229021,2.497769959757804,19.569602283519334,-2.556006584622678,1,1
B,9,ENSG00000167114,SLC27A4,44.5851937816768,264.07451551996087,-2.539760761422153,1,1
