comparison,rank_within_comparison,gene_id,gene_name,lhs_cpm,rhs_cpm,log2_fc
IPF-Progressive vs Control,1,ENSG00000211642,IGLV10-54,0.5143586394709976,29.4621664289066,-4.330239729463748
IPF-Progressive vs Control,2,ENSG00000211654,IGLV5-37,1.022630194451214,38.74088234249378,-4.2963194287898165
IPF-Progressive vs Control,3,ENSG00000243238,IGKV2-30,280.3954599833376,18.47487458693741,3.8529131095576705
IPF-Progressive vs Control,4,ENSG00000255823,MTRNR2L8,1016.4304988973536,97.26678678003303,3.372082554496953
IPF-Progressive vs Control,5,ENSG00000211638,IGLV8-61,1.4639438200328392,20.1403771725871,-3.1009598496838544
IPF-Progressive vs Control,6,ENSG00000224650,IGHV3-74,3.3752883501380846,31.52968688005794,-2.8943069306045195
IPF-Progressive vs Control,7,ENSG00000211640,IGLV6-57,47.52795570401833,6.446643628937165,2.7041538643612797
IPF-Progressive vs Control,8,ENSG00000122176,FMOD,5.247066831053253,0.0071788904553865985,2.632859012998632
IPF-Progressive vs Control,9,ENSG00000211651,IGLV1-44,14.858573241996508,93.65580488097356,-2.577428002599933
IPF-Progressive vs Control,10,ENSG00000211670,IGLV3-9,3.93530012328994,27.933062761909255,-2.5515093254599344
IPF-Progressive vs Control,11,ENSG00000211951,IGHV2-26,2.2583083460797644,17.75339609617106,-2.5249568371308055
IPF-Progressive vs Control,12,ENSG00000121101,TEX14,10.238476113493702,0.9942763280710439,2.494509196550206
IPF-Progressive vs Control,13,ENSG00000240864,IGKV1-16,4.364439579890003,29.20013692728499,-2.4930557243443414
IPF-Progressive vs Control,14,ENSG00000278196,IGLV2-8,20.540866614140604,119.05112986690366,-2.478500784161713
IPF-Progressive vs Control,15,ENSG00000211592,IGKC,434.2556511145645,77.23050351904902,2.4760598733361148
IPF-Progressive vs Control,16,ENSG00000241294,IGKV2-24,21.998723349682663,3.140764574231637,2.4735846951233156
IPF-Progressive vs Control,17,ENSG00000225698,IGHV3-72,0.9739335185249658,9.45459872974415,-2.4049923830151467
IPF-Progressive vs Control,18,ENSG00000110203,FOLR3,82.7204346874689,15.021828277896457,2.385541016765645
IPF-Progressive vs Control,19,ENSG00000087116,ADAMTS2,5.155760563691538,0.17947226138466496,2.3837956273233103
IPF-Progressive vs Control,20,ENSG00000239855,IGKV1-6,31.211525726479763,5.1831589087891246,2.3811610079997774
IPF-Progressive vs Control,21,ENSG00000282122,IGHV7-4-1,0.23435275289506988,5.2334111419768305,-2.3362671265611583
IPF-Progressive vs Control,22,ENSG00000211947,IGHV3-21,18.13951178252749,94.06859108215829,-2.3124147503239953
IPF-Progressive vs Control,23,ENSG00000154262,ABCA6,5.898384871566824,0.44509120823396914,2.255098068635647
IPF-Progressive vs Control,24,ENSG00000211637,IGLV4-69,4.577487537067339,24.67384649516374,-2.2026121690222284
IPF-Progressive vs Control,25,ENSG00000241755,IGKV1-9,8.001472563131673,40.305880461768055,-2.198114245497933
IPF-Progressive vs Control,26,ENSG00000282600,IGHV3-69-1,0.4352265410908441,5.430830629499962,-2.1637266185138513
IPF-Progressive vs Control,27,ENSG00000244575,IGKV1-27,9.705856220550363,46.32896955383742,-2.144323329538608
IPF-Progressive vs Control,28,ENSG00000101335,MYL9,67.90447103690785,14.727493769225607,2.131308808198277
IPF-Progressive vs Control,29,ENSG00000211659,IGLV3-25,68.57405033089375,15.714591206841265,2.05744124023561
IPF-Progressive vs Control,30,ENSG00000115590,IL1R2,15.205537057971029,2.946934531936199,2.0376823384737492
IPF-Progressive vs Control,31,ENSG00000165949,IFI27,1.6617740659832227,9.56228208657495,-1.9884615528764231
IPF-Progressive vs Control,32,ENSG00000211821,TRDV2,7.322762642409586,30.104677124663702,-1.9019971322533928
IPF-Progressive vs Control,33,ENSG00000115457,IGFBP2,9.081930060245305,1.9383004229543817,1.7787180361693555
IPF-Progressive vs Control,34,ENSG00000211933,IGHV6-1,4.7570565295453795,18.45333791557125,-1.756614438850141
IPF-Progressive vs Control,35,ENSG00000211965,IGHV3-49,1.774385129062672,8.19111400959611,-1.7280716633358868
IPF-Progressive vs Control,36,ENSG00000211666,IGLV2-14,48.73015489094758,163.41667288119282,-1.725163775038724
IPF-Progressive vs Control,37,ENSG00000211938,IGHV3-7,12.597221353671355,43.913272915599826,-1.7238299967602955
IPF-Progressive vs Control,38,ENSG00000211968,IGHV1-58,6.458396644718679,1.3819364126619202,1.646730623027992
IPF-Progressive vs Control,39,ENSG00000162366,PDZK1IP1,12.935054542909702,3.49253020654558,1.6331185401079678
IPF-Progressive vs Control,40,ENSG00000163736,PPBP,334.14441603693416,107.48593734327585,1.6272748535551331
IPF-Progressive vs Control,41,ENSG00000211669,IGLV3-10,14.262038961899968,3.959158086145709,1.621780593831632
IPF-Progressive vs Control,42,ENSG00000004799,PDK4,23.191791909875747,6.866608720577282,1.6207039032253396
IPF-Progressive vs Control,43,ENSG00000244116,IGKV2-28,0.31348485127522335,2.997186765123905,-1.605585421390154
IPF-Progressive vs Control,44,ENSG00000211942,IGHV3-13,3.4635510752544096,12.34769158326495,-1.5803264170472966
IPF-Progressive vs Control,45,ENSG00000276819,TRBV15,3.0891953790713758,11.10933297971076,-1.5662304983775672
IPF-Progressive vs Control,46,ENSG00000211956,IGHV4-34,108.7183725475947,36.08110342877305,1.5650490477254877
IPF-Progressive vs Control,47,ENSG00000100473,COCH,6.28795827897681,1.5075669956311857,1.5392264538466256
IPF-Progressive vs Control,48,ENSG00000125144,MT1G,3.76181821530268,0.6496895862124872,1.5293179607410663
IPF-Progressive vs Control,49,ENSG00000168594,ADAM29,1.8991703611236832,0.014357780910773197,1.5150735068610925
IPF-Progressive vs Control,50,ENSG00000211970,IGHV4-61,14.356388771507074,4.418607075290452,1.502845049404009
IPF-Progressive vs Control,51,ENSG00000211946,IGHV3-20,4.7814048675085035,15.251552772468829,-1.4910855567375876
IPF-Progressive vs Control,52,ENSG00000270164,LINC01480,5.213587866353957,1.2240008226434151,1.4822692321323385
IPF-Progressive vs Control,53,ENSG00000161911,TREML1,19.907809827099378,6.518432533491032,1.4755381212731962
IPF-Progressive vs Control,54,ENSG00000183508,TENT5C,12.152864185844338,35.25194158117589,-1.4626812680548182
IPF-Progressive vs Control,55,ENSG00000166091,CMTM5,17.701241699191254,5.814901268863145,1.4563694021676774
IPF-Progressive vs Control,56,ENSG00000130844,ZNF331,11.982425820102469,34.47303196676645,-1.4501626641385825
IPF-Progressive vs Control,57,ENSG00000211668,IGLV2-11,14.061165173704193,40.05820874105722,-1.4468373026891168
IPF-Progressive vs Control,58,ENSG00000163993,S100P,10.485003035370335,3.2448584858347425,1.4359628745652087
IPF-Progressive vs Control,59,ENSG00000163737,PF4,66.28530656236009,24.189271389425144,1.4174820984139958
IPF-Progressive vs Control,60,ENSG00000119508,NR4A3,4.057041813105561,12.437427713957282,-1.4098913815563163
IPF-Progressive vs Control,61,ENSG00000231475,IGHV4-31,39.273869134519245,14.196255875527,1.4061281699996173
IPF-Progressive vs Control,62,ENSG00000169704,GP9,37.274261879297676,13.499903501354499,1.4003312566018065
IPF-Progressive vs Control,63,ENSG00000211893,IGHG2,33.64940306503757,12.161040431424897,1.3965569537980724
IPF-Progressive vs Control,64,ENSG00000240671,IGKV1-8,6.147955335688846,17.69237552730027,-1.386847401377831
IPF-Progressive vs Control,65,ENSG00000257017,HP,8.856707934086407,2.853608956016173,1.3548956958678569
IPF-Progressive vs Control,66,ENSG00000167644,C19orf33,6.908840897036476,2.0926465677451933,1.3546243023523639
IPF-Progressive vs Control,67,ENSG00000253998,IGKV2-29,8.938883574711951,2.961292312846972,1.3271126393870278
IPF-Progressive vs Control,68,ENSG00000074219,TEAD2,2.687447802679827,0.4702173248278222,1.32659320021348
IPF-Progressive vs Control,69,ENSG00000138061,CYP1B1,49.42103898065123,19.253784201346857,1.315834361606437
IPF-Progressive vs Control,70,ENSG00000189058,APOD,1.5826419676030694,0.03948389750462629,1.3129802463020714
IPF-Progressive vs Control,71,ENSG00000144290,SLC4A10,0.39566049190076735,2.4515910905145235,-1.3063135242601862
IPF-Progressive vs Control,72,ENSG00000137801,THBS1,67.51794117174325,26.813155850868945,1.3007143509677412
