feature_label,ipf_mean_expression,control_mean_expression,delta_ipf_vs_control
BPIFB1,9.111503949579827,5.7497558,3.361748149579827
MMP7,7.80302386554622,4.873425200000001,2.9295986655462194
ASPN,8.217440420168067,5.343891000000001,2.8735494201680662
CP,8.110296554621849,5.3582592,2.752037354621849
IL1R2,5.185729831932774,7.931567600000001,-2.7458377680672275
SFRP2,8.279398319327733,5.669797400000001,2.6096009193277316
KRT5,7.173531764705883,4.621964599999999,2.551567164705884
MMP1,6.288812773109244,3.9395936000000003,2.349219173109244
FAM216B,6.6624882352941235,4.3200066,2.3424816352941233
CDHR3,7.188173025210079,4.848447799999999,2.3397252252100804
SNTN,6.334198991596638,4.0301828,2.304016191596638
ZBBX,5.9421833613445365,3.6398567999999987,2.302326561344538
MS4A8,7.108278319327732,4.817171999999999,2.2911063193277323
FCN3,6.982253025210082,9.245585199999999,-2.263332174789917
WDR96,6.201573697478993,3.9926905999999995,2.208883097478993
SPAG6,6.947799411764703,4.7712274,2.176572011764703
DTHD1,6.776775126050418,4.609536600000001,2.167238526050417
MGAM,4.294678319327731,6.455098000000001,-2.1604196806722706
PROM1,6.283923613445378,4.124004199999999,2.1599194134453787
CD24,8.301161008403357,6.176734799999999,2.1244262084033574
WDR49,6.489811848739494,4.392343,2.097468848739494
SPATA18,7.60585411764706,5.521966400000001,2.083887717647059
C1orf194,7.077577563025212,5.0079856,2.0695919630252124
SCGB1A1,11.097144033613445,9.0318158,2.065328233613444
EFCAB1,6.102365546218486,4.038673799999999,2.0636917462184874
COL14A1,8.198100840336137,6.137622200000001,2.060478640336136
SLCO4A1,5.093401848739494,7.142431800000001,-2.049029951260507
S100A12,4.159671512605043,6.170763999999997,-2.0110924873949534
SLC6A4,5.947024789915969,7.953061800000003,-2.006037010084034
TSPAN1,7.777106638655459,5.813588600000002,1.9635180386554572
PLEKHS1,5.684079075630255,3.7519253999999993,1.9321536756302553
DEFA1B,4.208699831932771,6.133374200000002,-1.9246743680672314
SPP1,7.420404117647058,5.496021799999999,1.9243823176470585
IGKV1D-27,7.27429042016807,5.359786199999999,1.9145042201680704
TMEM232,6.889296974789916,4.981517200000001,1.9077797747899155
TMEM100,4.974158823529412,6.878685800000002,-1.9045269764705903
IGHV4-59,9.278349747899158,7.3857592,1.8925905478991583
DNAH12,5.639230644257706,3.7575960666666663,1.88163457759104
LRRIQ1,5.67529605042017,3.795894400000001,1.879401650420169
MT1M,6.30051226890756,8.171927199999997,-1.8714149310924375
CCDC146,6.643375462184873,4.786287999999999,1.8570874621848743
C20orf85,7.806351848739497,5.9556402,1.8507116487394963
FAM154B,7.03840899159664,5.211246600000001,1.827162391596639
IGKV3D-11,10.240706806722699,8.423049599999999,1.8176572067227
C12orf55,5.824145714285716,4.015605700000001,1.8085400142857146
NECAB1,4.862742268907563,6.667423200000001,-1.804680931092438
CHDC2,5.4396153781512595,3.6569613999999997,1.7826539781512598
CLEC4E,4.0287184873949595,5.810373800000001,-1.7816553126050412
ENKUR,5.2867672268907535,3.505306199999999,1.7814610268907547
DNAAF1,6.851579159663871,5.078244999999999,1.7733341596638716
COL1A1,10.359456554621849,8.586132399999999,1.7733241546218501
VSIG1,5.471561932773106,3.6994967999999995,1.7720651327731067
ARMC3,5.298691680672267,3.5338401999999998,1.764851480672267
IGKV1OR2-3,8.805597394957982,7.049301999999998,1.7562953949579834
IGKV2D-28,9.708394285714288,7.955525599999999,1.7528686857142892
TMEM212,5.915948991596638,4.1767986,1.7391503915966382
HHLA2,5.51304924369748,3.786075400000001,1.7269738436974786
ERICH3,5.473962100840336,3.7515482,1.722413900840336
GSTA1,5.692588487394957,3.9705139999999997,1.7220744873949574
BTNL9,5.730574537815126,7.450106400000001,-1.7195318621848754
DSC3,5.291117226890757,3.5720297999999997,1.719087426890757
TDO2,5.1947401680672245,3.483316399999999,1.7114237680672253
THY1,6.974849663865546,5.264044600000001,1.7108050638655454
STOML3,5.59748235294118,3.8948603999999993,1.7026219529411803
VIPR1,6.869923781512604,8.570794600000001,-1.700870818487397
PRSS12,7.254455126050422,5.5647772,1.6896779260504218
CCDC80,8.931189663865545,7.241671600000003,1.6895180638655427
MMP13,4.78952655462185,3.100976599999999,1.688549954621851
IGKV3D-20,9.118090420168066,7.432379400000001,1.685711020168065
DNAH6,5.581206302521006,3.9018165,1.6793898025210066
LRRC46,6.439257058823531,4.7621062,1.6771508588235315
HSPA4L,5.784134453781513,4.111796,1.6723384537815127
WDR78,6.584854453781512,4.9139548,1.670899653781512
IL18RAP,4.508941680672271,6.177447200000001,-1.6685055193277307
SPAG17,5.049321092436973,3.3831573999999995,1.6661636924369732
IGKV1D-43,9.237391680672271,7.5801578,1.6572338806722708
CDH3,6.858499495798321,5.204138199999999,1.6543612957983216
SLC27A2,6.142214453781512,4.489255200000001,1.6529592537815114
S100A8,5.612080420168067,7.264268799999999,-1.652188379831932
TEX9,5.772836386554622,4.123564200000001,1.6492721865546214
MUC5B,6.730092436974788,5.091406,1.6386864369747878
RSPH4A,5.793286302521009,4.1586675999999985,1.6346187025210108
FNDC1,5.8416734453781505,4.2126366000000015,1.629036845378149
COL3A1,10.351589831932776,8.734930999999998,1.616658831932778
SDR16C5,5.53743588235294,7.154082000000001,-1.6166461176470603
SLITRK6,5.278754789915967,3.6645886000000005,1.614166189915966
RSPH10B2,5.515227352941175,3.9011158,1.6141115529411754
FASN,6.840471932773112,8.4539704,-1.6134984672268873
LOC642131,7.322057899159666,5.709401799999998,1.6126560991596675
C1orf192,5.6449068067226875,4.0380832,1.6068236067226875
DNAH9,5.829739327731095,4.230390399999999,1.5993489277310955
IGKV1D-33,10.069688655462183,8.4717858,1.5979028554621841
DNAH7,5.7699242016806735,4.1769723999999995,1.592951801680674
ABCA3,7.464922941176471,9.057465400000002,-1.592542458823531
ANKRD1,5.489481260504204,7.0810792,-1.591597939495796
FMO5,6.556432268907562,8.141365,-1.5849327310924384
HYDIN,5.886344999999998,4.302382500000002,1.5839624999999957
IL1RL1,6.5061912605042,8.0867412,-1.5805499394958007
SYNPO2,8.035825546218485,6.4555676,1.5802579462184845
CCDC11,5.5544667226890745,3.9832772000000007,1.5711895226890737
POSTN,9.094137310924376,7.5235347999999975,1.5706025109243784
SPATA17,5.530434201680674,3.9743533999999987,1.5560808016806749
BPIFA1,6.183464705882354,4.637865,1.5455997058823545
IL13RA2,4.900755126050421,3.3584126000000003,1.5423425260504207
C6orf165,5.303435798319327,3.768234200000001,1.5352015983193263
