gsm_accession,sample_title,disease_bucket,feature_count,mean_processed_signal,median_processed_signal
GSM1149949,LT001098RU_COPD,COPD,33291,2531.743141040834,181.5051
GSM1149953,LT007392RU_COPD,COPD,33291,1836.8687033364527,135.5165
GSM1149954,LT009099RL_COPD,COPD,33291,2598.0390571543535,235.3405
GSM1149956,LT010491LL_COPD,COPD,33291,2390.749137065584,210.106
GSM1149960,LT024952RU_COPD,COPD,33291,2323.407757558182,206.4839
GSM1149961,LT026458RL_COPD,COPD,33291,2975.68752040507,173.5695
GSM1149964,LT032411RU_COPD,COPD,33291,1868.6222855328965,163.62205
GSM1149965,LT032775RU_COPD,COPD,33291,2007.1722407537438,90.24347
GSM1149967,LT038075LL_COPD,COPD,33291,2973.905886713427,196.3373
GSM1149968,LT038591LU_COPD,COPD,33291,2831.422721221789,223.2085
GSM1149969,LT042988LU_COPD,COPD,33291,1380.4185226953866,92.95497
GSM1149972,LT046103LU_COPD,COPD,33291,1566.3191067039877,87.10526
GSM1149973,LT046180RU_COPD,COPD,33291,2222.4186320830586,162.8713
GSM1149978,LT050246RU_COPD,COPD,33291,1629.7859342422753,117.7544
GSM1149979,LT051568RU_COPD,COPD,33291,2217.061961788017,178.5844
GSM1149980,LT051993RU_COPD,COPD,33291,2802.3274197191663,259.996
GSM1149986,LT056627RU_COPD,COPD,33291,3425.462401803314,264.9525
GSM1149989,LT059224RL_COPD,COPD,33291,2436.656561292247,198.215257
GSM1149990,LT059865RU_COPD,COPD,33291,2339.7236837352466,215.9319
GSM1149991,LT060406RL_COPD,COPD,33291,2814.226936025197,250.98417999999998
GSM1149995,LT070021RU_COPD,COPD,33291,2264.216127232241,185.741915
GSM1150000,LT075917RU_COPD,COPD,33291,2529.8391335873625,237.52295
GSM1150002,LT079013RU_COPD,COPD,33291,2433.567098448731,196.6636
GSM1150003,LT081077RU_COPD,COPD,33291,2961.9049079199317,252.0363
GSM1150005,LT084831RU_COPD,COPD,33291,2506.3615872973955,211.43234999999999
GSM1150006,LT085240RU_COPD,COPD,33291,1635.9142727077676,121.0197
GSM1150007,LT086542RL_COPD,COPD,33291,2756.5719180296533,260.5583
GSM1150013,LT096554LU_COPD,COPD,33291,2131.5253432621507,159.2837
GSM1150016,LT100984RL_COPD,COPD,33291,3375.5040515863784,187.25341666666668
GSM1150020,LT106557LU_COPD,COPD,33291,2316.945330149191,206.3328
GSM1150025,LT110408RU_COPD,COPD,33291,2462.9425125057733,150.6355
GSM1150027,LT112339LI_COPD,COPD,33291,2517.129080466593,166.0972
GSM1150029,LT113077LL_COPD,COPD,33291,2516.125938012389,197.2146
GSM1150038,LT121841RU_COPD,COPD,33291,2761.8072396033444,237.6124
GSM1150043,LT123457RU_COPD,COPD,33291,2568.063523168927,237.7872
GSM1150044,LT125775RU_COPD,COPD,33291,1968.042562519893,153.7252
GSM1150045,LT126293RU_COPD,COPD,33291,2104.510398987097,199.919
GSM1150046,LT126571RU_COPD,COPD,33291,3168.4045299543423,241.2707
GSM1150047,LT127070RL_COPD,COPD,33291,2520.4380004396835,202.9752
GSM1150049,LT130350RU_COPD,COPD,33291,2243.781043616079,146.83342
GSM1150050,LT131432RU_COPD,COPD,33291,2190.960620218731,192.2256
GSM1150052,LT132625RU_COPD,COPD,33291,1965.1270369549427,145.3176
GSM1150059,LT144462RU_COPD,COPD,33291,2590.8992411187246,218.777
GSM1150060,LT145086RU_COPD,COPD,33291,1889.5921829771087,132.9201
GSM1150061,LT145162RM_COPD,COPD,33291,2674.5570096421684,268.1536
GSM1150062,LT147658RU_COPD,COPD,33291,3148.933570135575,241.4059
GSM1150063,LT150340LU_COPD,COPD,33291,2964.487545348878,234.82882
GSM1150064,LT150981RU_COPD,COPD,33291,2398.6163090561704,186.0142
GSM1150065,LT152979LL_COPD,COPD,33291,2395.874720675035,166.9307
GSM1150069,LT160089RU_COPD,COPD,33291,2601.872343383997,181.6016
GSM1150071,LT161707RU_COPD,COPD,33291,2591.3045767028284,178.8789
GSM1150074,LT166565RU_COPD,COPD,33291,2182.74632286717,124.0867
GSM1150077,LT169564RU_COPD,COPD,33291,2164.2930844608163,193.761685
GSM1150082,LT174536LU_COPD,COPD,33291,1492.272191850865,123.7145
GSM1150086,LT184347RU_COPD,COPD,33291,1944.0844280026513,167.20757
GSM1150093,LT193936RU_COPD,COPD,33291,2358.9963711889104,217.1149
GSM1150099,LT204017RL_COPD,COPD,33291,2658.414308101062,199.772
GSM1150102,LT206010LU_COPD,COPD,33291,3275.2448912407126,263.9598
GSM1150105,LT211728RU_COPD,COPD,33291,3003.127575811321,230.3978
GSM1150112,LT230267RU_COPD,COPD,33291,2234.563394073859,113.2939
GSM1150116,LT235584RU_COPD,COPD,33291,2833.110212534817,239.7523
GSM1150117,LT242420LU_COPD,COPD,33291,2166.110779961996,175.0021
GSM1150120,LT262496LU_COPD,COPD,33291,2404.5273174543345,180.8608
GSM1150123,LT265199LU_COPD,COPD,33291,3223.6437863532947,280.2493
GSM1150126,LT271679LU_COPD,COPD,33291,2102.7274028075185,164.4097
GSM1150127,LT271851LU_COPD,COPD,33291,2587.0634630019986,203.6483
GSM1150129,LT274443LU_COPD,COPD,33291,2248.7691327489215,157.1541
GSM1150131,LT277036RU_COPD,COPD,33291,2023.099995704454,177.8254
GSM1150133,LT282031RU_COPD,COPD,33291,3370.774963528876,278.262
GSM1150134,LT282467LL_COPD,COPD,33291,3262.027902774615,262.199065
GSM1150136,LT284144LU_COPD,COPD,33291,2010.1666563909741,169.2529
GSM1150138,LT291578RU_COPD,COPD,33291,2591.6212446470336,179.5555
GSM1150139,LT291673RM_COPD,COPD,33291,1793.834486509087,142.38240000000002
GSM1150140,LT294945LU_COPD,COPD,33291,2638.9542242320776,216.9657
GSM1150141,LT295167LU_COPD,COPD,33291,2136.580757381821,152.0388
GSM1150145,LT012861RU_COPD,COPD,36409,1839.0668132911255,82.08965
GSM1150147,LT030041RU_COPD,COPD,36409,1849.016513948298,138.3905
GSM1150162,LT155982RU_COPD,COPD,36409,1688.9877793040787,73.72858
GSM1150164,LT159988RL_COPD,COPD,36409,1760.161029705417,66.38895
GSM1150166,LT168204LL_COPD,COPD,36409,1900.011322740726,87.71495
GSM1150170,LT194990RU_COPD,COPD,36409,1359.8874880635185,46.827
GSM1150178,LT002501RL_COPD,COPD,36409,1864.5640150134398,92.8767025
GSM1150182,LT017275LL_COPD,COPD,36409,1859.6490688624688,75.404965
GSM1150184,LT020426LU_COPD,COPD,36409,1392.5257916248734,61.91133
GSM1150185,LT024106RU_COPD,COPD,36409,1906.548947129654,85.53802
GSM1150186,LT024460RU_COPD,COPD,36409,2359.1463346170226,125.9588
GSM1150187,LT025997RU_COPD,COPD,36409,1988.570258663183,53.74904
GSM1150188,LT028044RU_COPD,COPD,36409,1690.3490901036366,75.67179
GSM1150189,LT028427LU_COPD,COPD,36409,2819.896548670386,126.60294999999999
GSM1150190,LT030151RU_COPD,COPD,36409,2350.5251956061716,97.15408
GSM1150192,LT034070LU_COPD,COPD,36409,2319.3625604506856,91.82991
GSM1150193,LT034821RU_COPD,COPD,36409,2170.0260069656865,73.67081
GSM1150199,LT042552RL_ILD,COPD,36409,2086.144186951395,96.58471
GSM1150200,LT043343LU_COPD,COPD,36409,1921.0765259683803,86.47907
GSM1150201,LT043798LU_COPD,COPD,36409,1867.298494910115,95.4993
GSM1150203,LT057972LU_COPD,COPD,36409,2108.8479583571343,111.5553
GSM1150204,LT058691LU_COPD,COPD,36409,1675.2026977450942,70.1719
GSM1150206,LT059975LU_COPD,COPD,36409,1775.9849366620822,67.8956
GSM1150210,LT070403LL_COPD,COPD,36409,1816.3768333750647,73.31472
GSM1150211,LT072387LU_COPD,COPD,36409,1684.7186288373416,73.86206
GSM1150212,LT072808RL_COPD,COPD,36409,1889.675927562262,90.033265
GSM1150213,LT075462RU_COPD,COPD,36409,2118.8015466515562,91.66832
GSM1150214,LT076181LI_COPD,COPD,36409,1614.7491130951664,62.82948
GSM1150215,LT076617LL_COPD,COPD,36409,2085.0937604271176,113.0147
GSM1150220,LT080176RU_COPD,COPD,36409,1803.323053190225,71.17534
GSM1150223,LT083706RL_COPD,COPD,36409,2007.7458511429304,92.17948000000001
GSM1150224,LT083759RL_COPD,COPD,36409,1760.7811639848962,85.7506
GSM1150225,LT084406RU_COPD,COPD,36409,1763.6683163438202,83.85272
GSM1150226,LT084808LU_COPD,COPD,36409,1966.8778216807045,97.85686000000001
GSM1150228,LT089723LL_COPD,COPD,36409,1762.6202706506301,81.86824
GSM1150234,LT109231RU_COPD,COPD,36409,2061.7448339784287,90.33318181818181
GSM1150235,LT111643RU_COPD,COPD,36409,2149.587695569164,98.81702
GSM1150236,LT112563LL_COPD,COPD,36409,1718.213896544629,74.76385
GSM1150237,LT112597RU_COPD,COPD,36409,1889.7541234615735,84.55261
GSM1150238,LT113005RU_COPD,COPD,36409,1741.972364384929,70.0128
GSM1150239,LT115251RU_COPD,COPD,36409,2178.8740447162304,124.0681
GSM1150240,LT118064RL_COPD,COPD,36409,1962.8416893257865,108.4361
GSM1150242,LT122336LU_COPD,COPD,36409,3091.656142656753,151.0941
GSM1150243,LT126327LU_COPD,COPD,36409,1975.5462225481838,77.62913
GSM1150246,LT134719RU_COPD,COPD,36409,1419.2787129885473,56.68671
GSM1150248,LT136415RU_COPD,COPD,36409,2034.1205637566868,83.54563
GSM1150249,LT137832LU_COPD,COPD,36409,2188.3398530443983,114.4309
GSM1150250,LT138418LU_COPD,COPD,36409,1980.1583982355378,92.99061
GSM1150251,LT139051LU_COPD,COPD,36409,2239.9131900309108,96.28560333333333
GSM1150253,LT140046RU_COPD,COPD,36409,2128.7298452115965,97.44923
GSM1150254,LT140471RU_COPD,COPD,36409,2075.5477259419526,97.065485
GSM1150255,LT148377LU_COPD,COPD,36409,1826.816206730282,79.51521
GSM1150258,LT151920RL_COPD,COPD,36409,1893.384658841503,102.377
GSM1150261,LT152653LU_COPD,COPD,36409,1494.5893974469961,65.03429
GSM1150262,LT154785RU_COPD,COPD,36409,1904.2139895902944,79.34797
GSM1150263,LT156041LU_COPD,COPD,36409,1817.172967601108,81.06616000000001
GSM1150265,LT157177RU_COPD,COPD,36409,2012.3067243161652,92.42342
GSM1150266,LT158647RU_COPD,COPD,36409,1984.9527131404088,85.25867500000001
GSM1150268,LT162479RU_COPD,COPD,36409,2160.9211269434613,99.59637000000001
GSM1150269,LT163771RU_COPD,COPD,36409,1305.572522002062,56.93903
GSM1150272,LT168128RU_COPD,COPD,36409,1844.4353877368246,81.35622
GSM1150274,LT175949LL_COPD,COPD,36409,2116.487796433495,106.4509
GSM1150275,LT176562LL_COPD,COPD,36409,1813.8640945111517,110.1676
GSM1150276,LT177956LL_COPD,COPD,36409,1713.4052603230336,79.11956
GSM1150278,LT178929RL_COPD,COPD,36409,2354.9326302983795,116.9769
GSM1150279,LT178967RL_COPD,COPD,36409,2885.4453561954288,140.851675
GSM1150283,LT184772RL_COPD,COPD,36409,2594.499480430465,114.9137
GSM1150284,LT185970RL_COPD,COPD,36409,2036.9859233250895,103.6435
GSM1150285,LT186521RU_COPD,COPD,36409,2304.569229146188,115.5013
GSM1150288,LT190004RU_COPD,COPD,36409,2272.398604626448,88.30573
GSM1150290,LT192758RU_COPD,COPD,36409,2036.6732404368558,73.79488
GSM1150291,LT194473RU_COPD,COPD,36409,2028.411864306754,83.01323
GSM1150293,LT195871RU_COPD,COPD,36409,1844.7541844930397,89.26891
GSM1150294,LT197511LU_COPD,COPD,36409,1820.8917356987224,80.64807
GSM1150295,LT198062LL_COPD,COPD,36409,2350.5598226457473,103.8353
GSM1150296,LT198134LU_COPD,COPD,36409,2334.8760547608613,109.59644
GSM1150297,LT198612RL_COPD,COPD,36409,2096.1213371119325,98.96011
GSM1150298,LT199384RL_COPD,COPD,36409,2632.723482896754,101.8868
GSM1150300,LT203231RM_COPD,COPD,36409,1654.1350353879723,69.32443
GSM1150301,LT203541RU_COPD,COPD,36409,3041.5308100999023,139.5915
GSM1150303,LT208505LU_COPD,COPD,36409,1304.402003429879,52.01078
GSM1150304,LT208778RU_COPD,COPD,36409,2448.936300308709,110.2263
GSM1150305,LT210463LU_COPD,COPD,36409,1764.6762458391363,72.20733
GSM1150307,LT212777RU_COPD,COPD,36409,3024.379813394734,147.0723
GSM1150308,LT213352LU_COPD,COPD,36409,1678.7861989410121,69.14037
GSM1150309,LT213735RU_COPD,COPD,36409,2269.439357214967,107.4851
