gene_name,source_count,evidence_rows,up_count,down_count,mean_signed_score,max_abs_score,total_weight,evidence_sources,comparisons,gene_rank
SPP1,3,12,12,0,3.951057556677089,7.1175913206556105,47.41269068012507,GSE122960|GSE136831|GSE32537,B:IPF_vs_Control|Basal:IPF_vs_Control|DC_Langerhans:IPF_vs_Control|IPF_vs_Control|Macrophage_Alveolar:IPF_vs_Control|NK:IPF_vs_Control|T:IPF_vs_Control|T_Cytotoxic:IPF_vs_Control|T_Regulatory:IPF_vs_Control|ncMonocyte:IPF_vs_Control|pDC:IPF_vs_Control,1
PPBP,3,9,9,0,3.321120426013052,6.610879885183547,29.89008383411747,GSE122960|GSE136831|GSE233844,ILC_A:IPF_vs_Control|IPF-Progressive vs Control|IPF-Stable vs Control|IPF_vs_Control|Macrophage:IPF_vs_Control|Macrophage_Alveolar:IPF_vs_Control|Multiplet:IPF_vs_Control|NK:IPF_vs_Control|T:IPF_vs_Control,2
MMP7,3,6,6,0,3.1373545863848324,4.131132297391826,18.824127518308995,GSE122960|GSE136831|GSE32537,B:IPF_vs_Control|Club:IPF_vs_Control|IPF_vs_Control|Macrophage:IPF_vs_Control|cMonocyte:IPF_vs_Control,3
COL3A1,3,4,4,0,4.0920804332979355,5.582635245130614,16.368321733191742,GSE122960|GSE136831|GSE32537,ATII:IPF_vs_Control|IPF_vs_Control|VE_Capillary_A:IPF_vs_Control,4
TNC,3,4,3,1,1.6810281535172655,6.520705066122078,14.945936280129994,GSE122960|GSE136831|GSE32537,IPF_vs_Control|Mesothelial:IPF_vs_Control|VE_Capillary_A:IPF_vs_Control,5
IGHG1,3,4,2,2,-0.3851318632102454,5.193755562118528,13.388429749658417,GSE122960|GSE136831|GSE233844,IPF-Stable vs Control|IPF_vs_Control|T_Cytotoxic:IPF_vs_Control|VE_Arterial:IPF_vs_Control,6
BPIFB1,3,4,4,0,3.2997566179536775,4.0916199852340345,13.19902647181471,GSE122960|GSE136831|GSE32537,Basal:IPF_vs_Control|IPF_vs_Control|Lymphatic:IPF_vs_Control,7
MMP1,3,3,3,0,4.237751124948546,5.31826580356125,12.713253374845639,GSE122960|GSE136831|GSE32537,IPF_vs_Control|Myofibroblast:IPF_vs_Control,8
SFRP2,3,4,4,0,3.098019897185783,4.303907111447921,12.392079588743131,GSE122960|GSE136831|GSE32537,IPF_vs_Control|Myofibroblast:IPF_vs_Control|T:IPF_vs_Control,9
IGHG2,3,3,2,1,0.377999113589214,5.455924527275306,12.045846395318254,GSE122960|GSE136831|GSE233844,IPF-Progressive vs Control|IPF_vs_Control|VE_Arterial:IPF_vs_Control,10
COL1A1,3,3,3,0,3.349712917965943,4.249552244802717,10.049138753897829,GSE122960|GSE136831|GSE32537,IPF_vs_Control|T_Regulatory:IPF_vs_Control,11
MUC5B,3,3,3,0,3.274418373971855,4.249211290988523,9.823255121915565,GSE122960|GSE136831|GSE32537,ATII:IPF_vs_Control|IPF_vs_Control,12
IGKC,3,3,3,0,2.8268577055169395,4.4915386986768855,8.480573116550818,GSE122960|GSE233844|GSE32537,IPF-Progressive vs Control|IPF_vs_Control,13
PLA2G1B,3,3,0,3,-2.7321411093705037,3.374488507350923,8.19642332811151,GSE122960|GSE136831|GSE32537,IPF_vs_Control|Multiplet:IPF_vs_Control,14
HMCN1,3,3,3,0,2.583018464347407,3.5180986138066253,7.74905539304222,GSE122960|GSE136831|GSE32537,Club:IPF_vs_Control|IPF_vs_Control,15
IGLC2,3,3,1,2,0.3455717155692983,4.255670066439812,7.4746249861717295,GSE122960|GSE136831|GSE233844,IPF-Progressive vs Control|IPF_vs_Control|T_Cytotoxic:IPF_vs_Control,16
