drugbank_id,drug_name,normalized_name,drug_type,groups,is_approved,is_investigational,synonyms,target_genes,target_gene_count,drugbank_smiles,has_lincs_match,lincs_pert_id,lincs_pert_iname,lincs_signature_count,lincs_cell_count,lincs_canonical_smiles,canonical_smiles,target_overlap_genes,target_overlap_count,target_overlap_weight,target_overlap_norm,lincs_support_norm,target_overlap_count_norm,target_overlap_density,target_overlap_density_norm,specific_overlap_norm,approval_bonus,smiles_bonus,fibrosis_priority_overlap_count,fibrosis_priority_overlap_norm,broad_target_penalty,mineral_keyword_penalty,inorganic_like_penalty,broad_chemistry_penalty,pseudo_label_score,pseudo_label_rank,disease_gene_panel_size,disease_gene_panel_top10,label_source,study_objective,pred_accessioncv,pred_randomcv,consensus_model_score,consensus_model_rank,consensus_model_norm,pseudo_label_norm,translation_readiness_score,final_rerank_score,final_rerank_rank,support_note
DB12010,Fostamatinib,fostamatinib,small molecule,approved|investigational,1,1,Fostamatinib,AAK1|ABL1|ABL2|ACVR1|ACVR1B|ADORA3|ALK|ALOX5|ANKK1|AURKA|AURKB|AURKC|AXL|BLK|BMP2K|BMPR1B|BMPR2|BMX|BRAF|BTK|CAMK1|CAMK1D|CAMK1G|CAMK2A|CAMK2B|CAMK2D|CAMK2G|CAMKK1|CAMKK2|CASK|CDC42BPG|CDK1|CDK15|CDK16|CDK17|CDK4|CDKL1|CDKL2|CDPK1|CHEK1|CHEK2|CILK1|CIT|CLASP1|CLK1|CLK2|CLK3|CLK4|COQ8A|COQ8B|CSF1R|CSK|CSN3|CSNK1A1|CSNK2A1|CSNK2A2|CTSL|CTSS|DAPK1|DAPK2|DAPK3|DCLK1|DCLK2|DCLK3|DDR1|DDR2|DYRK1A|DYRK1B|EGFR|EIF2AK1|EIF2AK2|EIF2AK4|EPHA1|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB4|EPHB6|ERBB2|ERBB4|ERN1|FAAH|FER|FES|FGFR1|FGFR2|FGFR3|FGR|FLT1|FLT3|FLT4|FRK|FYN|GAK|GSK3A|GSK3B|HCK|HIPK2|HIPK3|IKBKB|IKBKE|INSR|INSRR|IRAK1|IRAK3|IRAK4|ITK|JAK1|JAK2|JAK3|KDR|KIT|LATS1|LCK|LIMK1|LIMK2|LRRK2|LTK|LYN|MAP2K2|MAP2K3|MAP2K5|MAP2K6|MAP3K1|MAP3K10|MAP3K11|MAP3K12|MAP3K13|MAP3K15|MAP3K19|MAP3K2|MAP3K20|MAP3K3|MAP3K4|MAP3K6|MAP3K9|MAP4K1|MAP4K2|MAP4K3|MAP4K4|MAP4K5|MAPK10|MAPK13|MAPK14|MAPK15|MAPK4|MAPK7|MAPK9|MAPKAPK5|MARK1|MARK2|MARK3|MARK4|MAST1|MATK|MELK|MERTK|MET|MINK1|MKNK1|MKNK2|MST1R|MTOR|MUSK|MYLK|MYLK2|MYLK3|MYLK4|MYO3A|NEK1|NEK11|NEK2|NEK3|NEK4|NEK5|NEK9|NIM1K|NTRK1|NTRK2|NTRK3|NUAK1|NUAK2|OXSR1|PAK1|PAK2|PAK3|PAK4|PAK5|PAK6|PDE5A|PDGFRA|PDGFRB|PDPK1|PHKG1|PI4KB|PIK3C2B|PIK3C2G|PIK3CD|PIK3CG|PIM1|PIM3|PIP4K2B|PIP4K2C|PKMYT1|PKN1|PKN2|PKNB|PLK1|PLK2|PLK3|PLK4|PRKAA1|PRKACA|PRKACB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKD1|PRKG2|PRP4K|PTK2|PTK2B|PTK6|RAF1|RET|RIOK1|RIOK2|RIOK3|RIPK1|RIPK2|RIPK4|ROCK2|ROS1|RPS6KA1|RPS6KA3|RPS6KA6|SBK1|SBK3|SGK3|SIK1|SIK2|SIK3|SLC18A2|SLC29A1|SLK|SNRK|SRC|SRMS|STK10|STK16|STK17A|STK17B|STK24|STK26|STK3|STK32A|STK33|STK35|STK36|STK38|STK38L|STK39|SYK|TAOK1|TAOK2|TAOK3|TBK1|TEC|TEK|TESK1|TGFBR1|TGFBR2|TIE1|TLK1|TLK2|TNIK|TNK1|TNK2|TNNI3K|TSSK1B|TTK|TXK|TYK2|TYRO3|UGT1A1|ULK1|ULK2|ULK3|WEE1|YES1|ZAP70,299,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,1,BRD-K20285085,fostamatinib,107,56,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,AURKA|CAMK1D|DCLK1|ERBB4|LCK|LIMK2|MATK|MET|PDGFRB|ROS1|SLC18A2,11,47.54802856412844,0.40709678884839773,0.6513442395081378,0.7925087653372185,0.03678929765886288,0.03678929765886288,0.029155840865248844,1.0,1.0,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.5741833161119526,1,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.5599932440022712,0.5599932440022712,0.5599932440022712,1,1.0,1.0,0.8387706009690713,0.7861744667472679,1,"approved, LINCS, fibrosis_targets=2"
DB11800,Tivozanib,tivozanib,small molecule,approved|investigational,1,1,Tivozanib,FLT1|FLT3|FLT4|KDR|KIT|MET|PDGFRA|PDGFRB|PTK6,9,COC1=C(OC)C=C2C(OC3=CC(Cl)=C(NC(=O)NC4=NOC(C)=C4)C=C3)=CC=NC2=C1,1,BRD-K53414658,tivozanib,107,56,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,COC1=C(OC)C=C2C(OC3=CC(Cl)=C(NC(=O)NC4=NOC(C)=C4)C=C3)=CC=NC2=C1,MET|PDGFRB,2,8.856669315655324,0.07582904585481648,0.6513442395081378,0.350379306422211,0.2222222222222222,0.2222222222222222,0.07786206809382466,1.0,1.0,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.4347882069720213,3,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.4384779390830072,0.4384779390830072,0.4384779390830072,2,0.8374751531474731,0.757228910648542,0.7503447091860698,0.679916244220252,2,"approved, LINCS, fibrosis_targets=2"
DB08865,Crizotinib,crizotinib,small molecule,approved|investigational,1,1,(R)-crizotinib|Crizotinib|Crizotinibum,ALK|MET|MST1R|ROS1,4,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,1,BRD-K78431006,crizotinib,112,19,C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,MET|ROS1,2,8.491859853950354,0.07270561960799941,0.657640009276385,0.350379306422211,0.5,0.5,0.1751896532111055,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.4044172328990104,6,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.40451867395534047,0.40451867395534047,0.40451867395534047,6,0.7920551596103182,0.7043346986072272,0.7016038631397192,0.6330647858082105,3,"approved, LINCS, fibrosis_targets=1"
DB01268,Sunitinib,sunitinib,small molecule,approved|investigational,1,1,Sunitinib|Sunitinibum,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|MET|PDGFRA|PDGFRB,9,CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,1,BRD-M64432851,sunitinib,18,14,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,MET|PDGFRB,2,8.856669315655324,0.07582904585481648,0.40960905934309494,0.350379306422211,0.2222222222222222,0.2222222222222222,0.07786206809382466,1.0,1.0,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.3985279299472649,7,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.40213880359066595,0.40213880359066595,0.40213880359066595,7,0.7888721196895068,0.6940778646197394,0.7019976731530612,0.6236713036148005,4,"approved, LINCS, fibrosis_targets=2"
DB02255,Ilomastat,ilomastat,small molecule,experimental,0,0,"(R)-N(SUP 1)-HYDROXY-N-((S)-2-INDOL-3-YL-1-(METHYLCARBAMOYL)ETHYL)-2-ISOBUTYLSUCCINAMIDE|(S-(R*,S*))-N(SUP 4)-HYDROXY-N(SUP 1)-(1H-INDOL-3-YLMETHYL)-2-(METHYLAMINO)-2-OXOETHYL)-2-(2-METHYLOPROPYL)BUTANEDIAMIDE|Ilomastat",ACAN|ADAM28|LEF|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9,11,CNC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC(C)C)CC(=O)NO,1,BRD-K51662849,ilomastat,23,13,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO,CNC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC(C)C)CC(=O)NO,ADAM28|MMP1|MMP12|MMP13|MMP9,5,31.770374775446726,0.272011646795215,0.4421078681545865,0.5714440358797147,0.45454545454545453,0.45454545454545453,0.25974728903623395,0.0,1.0,2,0.6666666666666666,0.0,0.0,0.0,0.0,0.42198515511119566,4,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.41146880992757934,0.41146880992757934,0.41146880992757934,4,0.8013508593186214,0.7349310634252533,0.30271038080686025,0.6173661032500596,5,"LINCS, fibrosis_targets=2"
DB00786,Marimastat,marimastat,small molecule,investigational,0,1,Marimastat,MMP1|MMP10|MMP11|MMP12|MMP13|MMP14|MMP15|MMP16|MMP17|MMP19|MMP2|MMP20|MMP21|MMP23B|MMP24|MMP25|MMP26|MMP27|MMP28|MMP3|MMP7|MMP8|MMP9,23,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,0,,,0,0,,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,MMP1|MMP12|MMP13|MMP15|MMP19|MMP7|MMP9,7,50.785358993274286,0.4348141698197036,0.0,0.6631941883725112,0.30434782608695654,0.30434782608695654,0.20184170950467734,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.4485510126117381,2,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.42829429999869095,0.42829429999869095,0.42829429999869095,3,0.823854692879694,0.7811982689588997,0.28263883767450226,0.6160577873693592,6,"investigational, fibrosis_targets=3"
DB11672,Curcumin,curcumin,small molecule,approved|investigational,1,1,Curcumin|Diferuloylmethane,ABCC5|APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CBR1|CYP3A4|DNMT3B|GSTP1|MMP13|MMP9|NOS2|PPARG|PTGS1|PTGS2|VDR|XDH,21,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,1,BRD-K69690935,curcumin,59,51,COc1ccc(C=CC(=O)CC(=O)C=Cc2cccc(O)c2OC)cc1O,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,CA1|MMP13|MMP9|PTGS2,4,13.227434503098527,0.11325067039638297,0.5695756090123103,0.5132964061160518,0.19047619047619047,0.19047619047619047,0.09777074402210509,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.4102976186727711,5,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.4054416602881221,0.4054416602881221,0.4054416602881221,5,0.7932896396001597,0.7145760024012479,0.7165744030256724,0.6151875621581937,7,"approved, LINCS, fibrosis_targets=1"
DB06037,PR-15,pr 15,small molecule,investigational,0,1,GPVI-Fc|Revacept,COL1A1|COL1A2|COL3A1,3,,0,,,0,0,,,COL1A1|COL1A2|COL3A1,3,38.10253007690056,0.32622630442785505,0.0,0.4421294589150075,1.0,1.0,0.4421294589150075,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.3863018867272164,8,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.38079965187494735,0.38079965187494735,0.38079965187494735,9,0.7603313332686995,0.6727849379933852,0.2384258917830015,0.605008939743408,8,"investigational, fibrosis_targets=3"
DB01254,Dasatinib,dasatinib,small molecule,approved|investigational,1,1,"Anh. dasatinib|Anhydrous dasatinib|BMS dasatinib|Dasatinib|Dasatinib (anh.)|dasatinib (anhydrous)|Dasatinib anhydrous|Dasatinibum|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide",ABL1|ABL2|BCR|BTK|CSK|EPHA2|EPHA5|EPHB4|FGR|FRK|FYN|HSPA8|KIT|LCK|LYN|MAP3K20|MAPK14|NR4A3|PDGFRB|PPAT|SRC|STAT5B|YES1,23,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,1,BRD-K49328571,dasatinib,65,18,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,LCK|NR4A3|PDGFRB,3,9.018666470248899,0.07721603335838198,0.5828344720322948,0.4421294589150075,0.13043478260869565,0.13043478260869565,0.057669059858479234,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.38458240995338666,9,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.38301782742633184,0.38301782742633184,0.38301782742633184,8,0.763298108869685,0.6697902902466115,0.7049927861894606,0.589544441112531,9,"approved, LINCS, fibrosis_targets=1"
DB00197,Troglitazone,troglitazone,small molecule,approved|withdrawn,1,0,Troglitazona|Troglitazone,ACSL4|ESRRA|ESRRG|GSTP1|PPARA|PPARD|PPARG|SERPINE1|SLC29A1,9,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,1,BRD-A13084692,troglitazone,187,54,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,SERPINE1,1,3.943245035859202,0.03376128180741727,0.7284559408008845,0.22106472945750374,0.1111111111111111,0.1111111111111111,0.024562747717500416,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3557809705341126,14,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal,0.35841407577013706,0.35841407577013706,0.35841407577013706,13,0.7303909703608572,0.619629586145522,0.6899041340516777,0.5759456449444942,10,"approved, LINCS, fibrosis_targets=1"
