accession,category,asset_type,url,relative_path,status,detail
GSE32537,geo_ipf_bulk,landing_page,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32537,GSE32537/GSE32537_landing_page.html,planned,
GSE32537,geo_ipf_bulk,family_soft,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32537/soft/GSE32537_family.soft.gz,GSE32537/GSE32537_family.soft.gz,planned,
GSE32537,geo_ipf_bulk,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32537/matrix/GSE32537_series_matrix.txt.gz,GSE32537/GSE32537_series_matrix.txt.gz,planned,
GSE32537,geo_ipf_bulk,supplementary_index,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32537/suppl/,GSE32537/GSE32537_supplementary_index.html,planned,
GSE47460,geo_ipf_bulk,landing_page,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47460,GSE47460/GSE47460_landing_page.html,planned,
GSE47460,geo_ipf_bulk,family_soft,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47460/soft/GSE47460_family.soft.gz,GSE47460/GSE47460_family.soft.gz,planned,
GSE47460,geo_ipf_bulk,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47460/matrix/GSE47460_series_matrix.txt.gz,GSE47460/GSE47460_series_matrix.txt.gz,planned,
GSE47460,geo_ipf_bulk,supplementary_index,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47460/suppl/,GSE47460/GSE47460_supplementary_index.html,planned,
GSE122960,geo_ipf_scrna,landing_page,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122960,GSE122960/GSE122960_landing_page.html,planned,
GSE122960,geo_ipf_scrna,family_soft,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122960/soft/GSE122960_family.soft.gz,GSE122960/GSE122960_family.soft.gz,planned,
GSE122960,geo_ipf_scrna,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122960/matrix/GSE122960_series_matrix.txt.gz,GSE122960/GSE122960_series_matrix.txt.gz,planned,
GSE122960,geo_ipf_scrna,supplementary_index,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122960/suppl/,GSE122960/GSE122960_supplementary_index.html,planned,
GSE136831,geo_ipf_scrna,landing_page,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136831,GSE136831/GSE136831_landing_page.html,planned,
GSE136831,geo_ipf_scrna,family_soft,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/soft/GSE136831_family.soft.gz,GSE136831/GSE136831_family.soft.gz,planned,
GSE136831,geo_ipf_scrna,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/matrix/GSE136831_series_matrix.txt.gz,GSE136831/GSE136831_series_matrix.txt.gz,planned,
GSE136831,geo_ipf_scrna,supplementary_index,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136831/suppl/,GSE136831/GSE136831_supplementary_index.html,planned,
GSE233844,geo_ipf_external_validation,landing_page,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233844,GSE233844/GSE233844_landing_page.html,planned,
GSE233844,geo_ipf_external_validation,family_soft,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233844/soft/GSE233844_family.soft.gz,GSE233844/GSE233844_family.soft.gz,planned,
GSE233844,geo_ipf_external_validation,series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233844/matrix/GSE233844_series_matrix.txt.gz,GSE233844/GSE233844_series_matrix.txt.gz,planned,
GSE233844,geo_ipf_external_validation,supplementary_index,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233844/suppl/,GSE233844/GSE233844_supplementary_index.html,planned,
