drugbank_id,drug_name,normalized_name,drug_type,groups,is_approved,is_investigational,synonyms,target_genes,target_gene_count,drugbank_smiles,has_lincs_match,lincs_pert_id,lincs_pert_iname,lincs_signature_count,lincs_cell_count,lincs_canonical_smiles,canonical_smiles,target_overlap_genes,target_overlap_count,target_overlap_weight,target_overlap_norm,lincs_support_norm,approval_bonus,smiles_bonus,pseudo_label_score,pseudo_label_rank,disease_gene_panel_size,disease_gene_panel_top10,label_source,study_objective
DB09130,Copper,copper,small molecule,approved|investigational,1,1,cobre|Copper|cuivre|cuprum|Kupfer,A1BG|ACTG1|ACTN1|ACY1|AFM|AGT|AHCY|AHSG|AKR1A1|ANXA4|ANXA5|APCS|APLP1|APOA1|APOA2|APOA4|APOBR|APOC2|APOC3|APOD|APOE|APOH|APP|AZGP1|B2M|BDNF|C1QBP|C1QC|C1S|C3|C4B|C4BPA|C5|C8B|C9|CALR|CBID|CBX5|CFH|CFI|CFL1|CLEC3B|CLIC1|CLU|CYB5R3|EEF1A1|EIF4A1|EIF6|ENO1|F2|GAPDH|GLRA1|GOT1|GPI|GSN|GSR|GSS|H1-4|H2BC4|HBA1|HBB|HDGF|HEPHL1|HNRNPA2B1|HNRNPH1|HNRNPH3|HNRNPL|HPR|HSP90AA1|HSP90B1|HSPA13|HSPA5|HSPA8|HSPD1|HTT|IAPP|IDH3A|IGFALS|IGHG1|IGHG4|IGKV3-20|IGLL1|ITIH2|KNG1|KRT1|KRT10|KRT2|KRT8|KRT9|LDHA|LRG1|LUM|LYAR|NEIL1|NEIL2|NME1|P4HB|PARK7|PDIA3|PEBP1|PGAM1|PGK1|PGLYRP2|PKM|PLG|PON1|PPBP|PPIA|PRDX1|PRDX2|PRDX6|PRNP|PSME1|PTGES3|RACK1|RANBP1|RPS2|RPSA|S100A2|S100A4|S100A8|SCO1|SERPINA1|SERPINA4|SERPINA6|SERPINA7|SERPINC1|SERPIND1|SERPINE1|SERPINF1|SERPINF2|SERPING1|SF3A2|SFPQ|SNCA|SRSF1|STIP1|TAC3|TF|TKT|TTR|TUBA3C|TUBB|UGDH|VTN|YWHAB,146,[Cu],0,,,0,0,,[Cu],APOD|C1QC|CFH|CLU|HBA1|HBB|IGHG1|IGHG4|IGKV3-20|LUM|PPBP|S100A2|S100A8|SERPIND1|SERPINE1,15,116.79784726043431,1.0,0.0,1.0,1.0,0.8,1,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB01593,Zinc,zinc,small molecule,approved|investigational,1,1,"Zinc|Zinc, chelated|Zinc, elemental|Zincum metallicum|Zn",A1BG|A2M|AGT|AHSG|ALDOA|APCS|APLP1|APLP2|APOA1|APOA2|APOA4|APOBR|APOE|APOL1|APP|ASPA|BDKRB1|BRCC3|C1QB|C1QC|C1R|C1S|C3|C4B|C4BPA|C4BPB|C5|C8A|C8B|C8G|CCS|CFB|CFH|CFI|CLU|CP|CPN1|CPN2|DAND5|DCD|DSP|EEF1A1|ENO1|ESR1|F12|F13B|F2|FCN3|FGA|FN1|GAPDHS|GLRA1|GSN|HBA1|HBB|HDAC1|HDAC4|HDAC8|HPR|HRNR|IGFALS|IGHA1|IGHM|IGKV1-17|IGKV3-20|IGLV3-21|IL3|INS|ITIH1|ITIH2|ITIH3|ITIH4|JCHAIN|JUP|KLKB1|KNG1|KRT1|KRT10|KRT14|KRT16|KRT2|KRT5|KRT6A|KRT9|MDM2|MGMT|MMP9|MPG|MT1A|MT2A|MT3|NME1|ORM2|P4HB|PARP1|PDCD6|PDIA3|PGLYRP2|PON1|PRDX1|PSPH|PZP|S100A2|S100A7|S100A8|S100A9|SELENOP|SEMG1|SERPINA1|SERPINA3|SERPINA4|SERPINA6|SERPIND1|SHBG|SIVA1|SOD1|TF|TP53|TP73|TPI1|TTR|TUFM|UTRN|VTN,124,[Zn],0,,,0,0,,[Zn],C1QB|C1QC|CFH|CLU|CP|FCN3|FN1|HBA1|HBB|IGHA1|IGHM|IGKV1-17|IGKV3-20|IGLV3-21|JCHAIN|KRT5|MMP9|PSPH|S100A2|S100A8|S100A9|SERPIND1,22,100.25758650367565,0.8583855683583157,0.0,1.0,1.0,0.7150313410149894,2,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB14487,Zinc acetate,zinc acetate,small molecule,approved,1,0,"Acetic acid, zinc salt|Dicarbomethoxyzinc|Zinc acetate|Zinc acetate anhydrous|Zinc acetato|Zinc diacetate|Zinc(II) acetate",A1BG|A2M|AGT|AHSG|ALDOA|APCS|APLP1|APLP2|APOA1|APOA2|APOA4|APOBR|APOE|APOL1|APP|ASPA|BDKRB1|BRCC3|C1QB|C1QC|C1R|C1S|C3|C4B|C4BPA|C4BPB|C5|C8A|C8B|C8G|CCS|CFB|CFH|CFI|CLU|CP|CPN1|CPN2|DAND5|DCD|DSP|EEF1A1|ENO1|ESR1|F12|F13B|F2|FCN3|FGA|FN1|GAPDHS|GLRA1|GSN|HBA1|HBB|HDAC1|HDAC4|HDAC8|HPR|HRNR|IGFALS|IGHA1|IGHM|IGKV1-17|IGKV3-20|IGLV3-21|IL3|INS|ITIH1|ITIH2|ITIH3|ITIH4|JCHAIN|JUP|KLKB1|KNG1|KRT1|KRT10|KRT14|KRT16|KRT2|KRT5|KRT6A|KRT9|MDM2|MGMT|MMP9|MPG|MT1A|MT2A|MT3|NME1|ORM2|P4HB|PARP1|PDCD6|PDIA3|PGLYRP2|PON1|PRDX1|PSPH|PZP|S100A2|S100A7|S100A8|S100A9|SELENOP|SEMG1|SERPINA1|SERPINA3|SERPINA4|SERPINA6|SERPIND1|SHBG|SIVA1|SOD1|TF|TP53|TP73|TPI1|TTR|TUFM|UTRN|VTN,124,[Zn++].CC([O-])=O.CC([O-])=O,0,,,0,0,,[Zn++].CC([O-])=O.CC([O-])=O,C1QB|C1QC|CFH|CLU|CP|FCN3|FN1|HBA1|HBB|IGHA1|IGHM|IGKV1-17|IGKV3-20|IGLV3-21|JCHAIN|KRT5|MMP9|PSPH|S100A2|S100A8|S100A9|SERPIND1,22,100.25758650367565,0.8583855683583157,0.0,1.0,1.0,0.7150313410149894,3,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB14533,Zinc chloride,zinc chloride,small molecule,approved,1,0,Zinc chloride,A2M|AHSG|ALDOA|APLP1|APLP2|APOA1|APOB|APOBEC1|APOBR|APOE|APOL1|APP|ASPA|BDKRB1|BRCC3|C1QB|C1QC|C1R|C1S|C3|C4B|C4BPA|C4BPB|C5|CCS|CFH|CLU|CP|CPN1|CPN2|DCD|EEF1A1|ENO1|ESR1|F11|FGA|FN1|GAPDHS|GLRA1|HBA1|HBB|HDAC1|HDAC4|HDAC8|HP|HPX|HRG|IGFALS|IL3|INS|ITIH1|ITIH2|ITIH3|ITIH4|JCHAIN|KLKB1|KNG1|KRT9|MDM2|MGMT|MMP9|MPG|MT1A|MT2A|MT3|NME1|ORM2|P4HB|PARP1|PDIA3|PGLYRP2|PON1|PRDX1|PSPH|PZP|S100A2|S100A7|S100A8|S100A9|SELENOP|SEMG1|SEMG2|SERPINA1|SERPINA3|SERPINA6|SERPIND1|SHBG|SIVA1|SOD1|TF|TP53|TP73|TPI1|TTR|TUFM|UTRN|VTN,97,[Cl-].[Cl-].[Zn++],0,,,0,0,,[Cl-].[Cl-].[Zn++],C1QB|C1QC|CFH|CLU|CP|FN1|HBA1|HBB|HP|JCHAIN|MMP9|PSPH|S100A2|S100A8|S100A9|SERPIND1,16,67.76812864780055,0.5802172748671649,0.0,1.0,1.0,0.548130364920299,4,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB14548,"Zinc sulfate, unspecified form",zinc sulfate unspecified form,small molecule,approved,1,0,"Zinc sulfate, unspecified|Zinc sulfate, unspecified form|Zinc sulfate, unspecified hydrate",A2M|AHSG|ALDOA|APLP1|APLP2|APOA1|APOB|APOBEC1|APOBR|APOE|APOL1|APP|ASPA|BDKRB1|BRCC3|C1QB|C1QC|C1R|C1S|C3|C4B|C4BPA|C4BPB|C5|CCS|CFH|CLU|CP|CPN1|CPN2|DCD|EEF1A1|ENO1|ESR1|F11|FGA|FN1|GAPDHS|GLRA1|HBA1|HBB|HDAC1|HDAC4|HDAC8|HP|HPX|HRG|IGFALS|IL3|INS|ITIH1|ITIH2|ITIH3|ITIH4|JCHAIN|KLKB1|KNG1|KRT9|MDM2|MGMT|MMP9|MPG|MT1A|MT2A|MT3|NME1|ORM2|P4HB|PARP1|PDIA3|PGLYRP2|PON1|PRDX1|PSPH|PZP|S100A2|S100A7|S100A8|S100A9|SELENOP|SEMG1|SEMG2|SERPINA1|SERPINA3|SERPINA6|SERPIND1|SHBG|SIVA1|SOD1|TF|TP53|TP73|TPI1|TTR|TUFM|UTRN|VTN,97,,0,,,0,0,,,C1QB|C1QC|CFH|CLU|CP|FN1|HBA1|HBB|HP|JCHAIN|MMP9|PSPH|S100A2|S100A8|S100A9|SERPIND1,16,67.76812864780055,0.5802172748671649,0.0,1.0,0.0,0.49813036492029894,5,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB12010,Fostamatinib,fostamatinib,small molecule,approved|investigational,1,1,Fostamatinib,AAK1|ABL1|ABL2|ACVR1|ACVR1B|ADORA3|ALK|ALOX5|ANKK1|AURKA|AURKB|AURKC|AXL|BLK|BMP2K|BMPR1B|BMPR2|BMX|BRAF|BTK|CAMK1|CAMK1D|CAMK1G|CAMK2A|CAMK2B|CAMK2D|CAMK2G|CAMKK1|CAMKK2|CASK|CDC42BPG|CDK1|CDK15|CDK16|CDK17|CDK4|CDKL1|CDKL2|CDPK1|CHEK1|CHEK2|CILK1|CIT|CLASP1|CLK1|CLK2|CLK3|CLK4|COQ8A|COQ8B|CSF1R|CSK|CSN3|CSNK1A1|CSNK2A1|CSNK2A2|CTSL|CTSS|DAPK1|DAPK2|DAPK3|DCLK1|DCLK2|DCLK3|DDR1|DDR2|DYRK1A|DYRK1B|EGFR|EIF2AK1|EIF2AK2|EIF2AK4|EPHA1|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB4|EPHB6|ERBB2|ERBB4|ERN1|FAAH|FER|FES|FGFR1|FGFR2|FGFR3|FGR|FLT1|FLT3|FLT4|FRK|FYN|GAK|GSK3A|GSK3B|HCK|HIPK2|HIPK3|IKBKB|IKBKE|INSR|INSRR|IRAK1|IRAK3|IRAK4|ITK|JAK1|JAK2|JAK3|KDR|KIT|LATS1|LCK|LIMK1|LIMK2|LRRK2|LTK|LYN|MAP2K2|MAP2K3|MAP2K5|MAP2K6|MAP3K1|MAP3K10|MAP3K11|MAP3K12|MAP3K13|MAP3K15|MAP3K19|MAP3K2|MAP3K20|MAP3K3|MAP3K4|MAP3K6|MAP3K9|MAP4K1|MAP4K2|MAP4K3|MAP4K4|MAP4K5|MAPK10|MAPK13|MAPK14|MAPK15|MAPK4|MAPK7|MAPK9|MAPKAPK5|MARK1|MARK2|MARK3|MARK4|MAST1|MATK|MELK|MERTK|MET|MINK1|MKNK1|MKNK2|MST1R|MTOR|MUSK|MYLK|MYLK2|MYLK3|MYLK4|MYO3A|NEK1|NEK11|NEK2|NEK3|NEK4|NEK5|NEK9|NIM1K|NTRK1|NTRK2|NTRK3|NUAK1|NUAK2|OXSR1|PAK1|PAK2|PAK3|PAK4|PAK5|PAK6|PDE5A|PDGFRA|PDGFRB|PDPK1|PHKG1|PI4KB|PIK3C2B|PIK3C2G|PIK3CD|PIK3CG|PIM1|PIM3|PIP4K2B|PIP4K2C|PKMYT1|PKN1|PKN2|PKNB|PLK1|PLK2|PLK3|PLK4|PRKAA1|PRKACA|PRKACB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKD1|PRKG2|PRP4K|PTK2|PTK2B|PTK6|RAF1|RET|RIOK1|RIOK2|RIOK3|RIPK1|RIPK2|RIPK4|ROCK2|ROS1|RPS6KA1|RPS6KA3|RPS6KA6|SBK1|SBK3|SGK3|SIK1|SIK2|SIK3|SLC18A2|SLC29A1|SLK|SNRK|SRC|SRMS|STK10|STK16|STK17A|STK17B|STK24|STK26|STK3|STK32A|STK33|STK35|STK36|STK38|STK38L|STK39|SYK|TAOK1|TAOK2|TAOK3|TBK1|TEC|TEK|TESK1|TGFBR1|TGFBR2|TIE1|TLK1|TLK2|TNIK|TNK1|TNK2|TNNI3K|TSSK1B|TTK|TXK|TYK2|TYRO3|UGT1A1|ULK1|ULK2|ULK3|WEE1|YES1|ZAP70,299,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,1,BRD-K20285085,fostamatinib,107,56,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,COC1=CC(NC2=NC=C(F)C(NC3=NC4=C(OC(C)(C)C(=O)N4COP(O)(O)=O)C=C3)=N2)=CC(OC)=C1OC,AURKA|CAMK1D|DCLK1|ERBB4|LCK|LIMK2|MATK|MET|PDGFRB|ROS1|SLC18A2,11,47.54802856412844,0.40709678884839773,0.08087679516250945,1.0,1.0,0.4604334323415405,6,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB02546,Vorinostat,vorinostat,small molecule,approved|investigational,1,1,Octanedioic acid hydroxyamide phenylamide|SAHA|SHH|Suberanilohydroxamic acid|Suberoylanilide hydroxamic acid|Vorinostat|Vorinostatum,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,1,BRD-K81418486,vorinostat,1323,60,ONC(=O)CCCCCCC(=O)Nc1ccccc1,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,,0,0.0,0.0,1.0,1.0,1.0,0.39999999999999997,7,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB00143,Glutathione,glutathione,small molecule,approved|investigational|nutraceutical,1,1,"5-L-Glutamyl-L-cysteinylglycine|AEC GLUTATHIONE|gamma-L-Glutamyl-L-cysteinyl-glycine|Glutathion|Glutathione|Glutathione-SH|GLYCINE, L-.GAMMA.-GLUTAMYL-L-CYSTEINYL-|GSH|L-GLUTATHIONE REDUCED|Liposomal glutathione|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|Reduced glutathione|REDUCED L-GLUTATHIONE",AKR1B1|CYP3A4|ESD|GGT1|GLO1|GLRX|GLRX2|GPX1|GPX2|GPX3|GPX4|GPX5|GPX6|GPX7|GSR|GSS|GSTA1|GSTA2|GSTA3|GSTA4|GSTA5|GSTK1|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTO1|GSTO2|GSTP1|GSTT1|GSTZ1|HAGH|HPGDS|IMPDH1|LTC4S|MGST1|MGST2|MGST3|MMP9,40,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,0,,,0,0,,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,GPX3|GSTA1|GSTA2|MGST2|MMP9,5,21.607714007067734,0.18500096118113493,0.0,1.0,1.0,0.3110005767086809,8,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB00786,Marimastat,marimastat,small molecule,investigational,0,1,Marimastat,MMP1|MMP10|MMP11|MMP12|MMP13|MMP14|MMP15|MMP16|MMP17|MMP19|MMP2|MMP20|MMP21|MMP23B|MMP24|MMP25|MMP26|MMP27|MMP28|MMP3|MMP7|MMP8|MMP9,23,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,0,,,0,0,,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,MMP1|MMP12|MMP13|MMP15|MMP19|MMP7|MMP9,7,50.785358993274286,0.4348141698197036,0.0,0.0,1.0,0.31088850189182216,9,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
DB00162,Vitamin A,vitamin a,small molecule,approved|investigational|nutraceutical|vet_approved,1,1,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol|all-trans-retinol|all-trans-retinyl alcohol|all-trans-vitamin A alcohol|Retinol|Retinolum|Vitamin A Alcohol|Vitamin A1",ALDH1A1|ALDH1A2|ALDH1A3|APOD|DHRS3|DHRS4|LRAT|PTGDS|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RXRG,16,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,1,BRD-K13927029,retinol,24,15,CC(=C\CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,APOD|PTGDS,2,20.50719296771328,0.1755785183436353,0.018140589569160998,1.0,1.0,0.30897522892001333,10,1085,SPP1|PPBP|MMP7|COL3A1|TNC|IGHG1|BPIFB1|MMP1|SFRP2|IGHG2,pseudo_label,disease_signature_reversal
